205,6,0000011,25
16,0,0010111,16
237,7,0000000,27
19,0,0010111,19
131,4,0100101,11
89,2,0010010,29
71,2,0010010,11
193,6,0000011,13
18,0,0010111,18
51,1,0100100,21
57,1,0100100,27
221,7,0000000,11
99,3,0110111,9
166,5,1000101,16
176,5,1000101,26
167,5,1000101,17
208,6,0000011,28
62,2,0010010,2
202,6,0000011,22
142,4,0100101,22
206,6,0000011,26
32,1,0100100,2
34,1,0100100,4
185,6,0000011,5
135,4,0100101,15
22,0,0010111,22
240,7,0000000,30
191,6,0000011,11
124,4,0100101,4
69,2,0010010,9
41,1,0100100,11
170,5,1000101,20
8,0,0010111,8
61,2,0010010,1
33,1,0100100,3
75,2,0010010,15
78,2,0010010,18
7,0,0010111,7
179,5,1000101,29
111,3,0110111,21
144,4,0100101,24
95,3,0110111,5
121,4,0100101,1
156,5,1000101,6
194,6,0000011,14
108,3,0110111,18
180,5,1000101,30
184,6,0000011,4
157,5,1000101,7
10,0,0010111,10
187,6,0000011,7
197,6,0000011,17
13,0,0010111,13
151,5,1000101,1
127,4,0100101,7
100,3,0110111,10
201,6,0000011,21
43,1,0100100,13
35,1,0100100,5
211,7,0000000,1
122,4,0100101,2
80,2,0010010,20
137,4,0100101,17
236,7,0000000,26
161,5,1000101,11
27,0,0010111,27
158,5,1000101,8
141,4,0100101,21
218,7,0000000,8
45,1,0100100,15
46,1,0100100,16
25,0,0010111,25
223,7,0000000,13
4,0,0010111,4
169,5,1000101,19
188,6,0000011,8
165,5,1000101,15
186,6,0000011,6
239,7,0000000,29
52,1,0100100,22
231,7,0000000,21
70,2,0010010,10
83,2,0010010,23
97,3,0110111,7
215,7,0000000,5
5,0,0010111,5
42,1,0100100,12
98,3,0110111,8
24,0,0010111,24
207,6,0000011,27
232,7,0000000,22
220,7,0000000,10
154,5,1000101,4
9,0,0010111,9
26,0,0010111,26
66,2,0010010,6
152,5,1000101,2
225,7,0000000,15
222,7,0000000,12
86,2,0010010,26
190,6,0000011,10
48,1,0100100,18
224,7,0000000,14
195,6,0000011,15
3,0,0010111,3
54,1,0100100,24
84,2,0010010,24
235,7,0000000,25
49,1,0100100,19
47,1,0100100,17
50,1,0100100,20
198,6,0000011,18
181,6,0000011,1
128,4,0100101,8
228,7,0000000,18
182,6,0000011,2
168,5,1000101,18
68,2,0010010,8
21,0,0010111,21
123,4,0100101,3
14,0,0010111,14
17,0,0010111,17
175,5,1000101,25
85,2,0010010,25
44,1,0100100,14
129,4,0100101,9
162,5,1000101,12
91,3,0110111,1
67,2,0010010,7
136,4,0100101,16
234,7,0000000,24
60,1,0100100,30
2,0,0010111,2
199,6,0000011,19
90,2,0010010,30
130,4,0100101,10
107,3,0110111,17
213,7,0000000,3
132,4,0100101,12
102,3,0110111,12
174,5,1000101,24
59,1,0100100,29
143,4,0100101,23
106,3,0110111,16
226,7,0000000,16
39,1,0100100,9
212,7,0000000,2
110,3,0110111,20
196,6,0000011,16
159,5,1000101,9
116,3,0110111,26
138,4,0100101,18
76,2,0010010,16
29,0,0010111,29
96,3,0110111,6
114,3,0110111,24
1,0,0010111,1
12,0,0010111,12
204,6,0000011,24
125,4,0100101,5
134,4,0100101,14
55,1,0100100,25
149,4,0100101,29
173,5,1000101,23
126,4,0100101,6
38,1,0100100,8
104,3,0110111,14
210,6,0000011,30
119,3,0110111,29
53,1,0100100,23
203,6,0000011,23
171,5,1000101,21
153,5,1000101,3
139,4,0100101,19
36,1,0100100,6
64,2,0010010,4
189,6,0000011,9
200,6,0000011,20
217,7,0000000,7
11,0,0010111,11
229,7,0000000,19
20,0,0010111,20
40,1,0100100,10
133,4,0100101,13
238,7,0000000,28
219,7,0000000,9
101,3,0110111,11
118,3,0110111,28
147,4,0100101,27
160,5,1000101,10
145,4,0100101,25
82,2,0010010,22
74,2,0010010,14
103,3,0110111,13
79,2,0010010,19
183,6,0000011,3
81,2,0010010,21
92,3,0110111,2
113,3,0110111,23
216,7,0000000,6
178,5,1000101,28
227,7,0000000,17
58,1,0100100,28
109,3,0110111,19
23,0,0010111,23
163,5,1000101,13
73,2,0010010,13
164,5,1000101,14
209,6,0000011,29
65,2,0010010,5
72,2,0010010,12
88,2,0010010,28
115,3,0110111,25
112,3,0110111,22
148,4,0100101,28
30,0,0010111,30
177,5,1000101,27
87,2,0010010,27
105,3,0110111,15
120,3,0110111,30
117,3,0110111,27
230,7,0000000,20
155,5,1000101,5
63,2,0010010,3
214,7,0000000,4
192,6,0000011,12
150,4,0100101,30
146,4,0100101,26
140,4,0100101,20
37,1,0100100,7
15,0,0010111,15
77,2,0010010,17
233,7,0000000,23
56,1,0100100,26
93,3,0110111,3
28,0,0010111,28
31,1,0100100,1
94,3,0110111,4
172,5,1000101,22
6,0,0010111,6
